business_id,name,categories,avg_stars
LDMCrFlGIFUN6L-FEFgzWg,El Pollo Loco,"['Restaurants', 'American (Traditional)', 'Mexican', 'Fast Food']",3.0
QTH_XGh4rWYdd0fTW-tUDw,Baja Fresh Mexican Grill,"['Mexican', 'Restaurants']",3.5
DiA78qPtp6rfRNdomzjBbw,Joshan Filipino Oriental Market,"['Chinese', 'Food', 'Convenience Stores', 'Restaurants']",3.5
YTqtM2WFhcMZGeAGA08Cfg,Mariscos Playa Escondida,"['Seafood', 'Restaurants', 'Specialty Food', 'Ethnic Food', 'Food', 'Mexican']",4.5
Oto60yDwk1z72WmfWEYrjg,Baja Miguel's,"['Food', 'Restaurants', 'Mexican']",3.0
mUk-0jToBuzk4KaDXp-uew,Taza Indian Kitchen,"['Indian', 'Pakistani', 'Restaurants']",3.0
1CP8aJa8ILlfM5deroar0Q,Wingstop,"['Chicken Wings', 'American (New)', 'Restaurants']",3.0
TYGVaav4hWZioQlk9Ig78A,Cody's Smokin' Barbecue,"['Restaurants', 'Barbeque']",4.5
Wbi-x-1Nbn6LFCMOSN6F5Q,Cafe Rio,"['Restaurants', 'Mexican']",2.5
W-3Sy3fy85mQdd0ZNFKIiw,Applebee's,"['Sports Bars', 'Nightlife', 'Burgers', 'Bars', 'American (Traditional)', 'Restaurants', 'Food']",2.5
rihKlAiPgJa5XcpZ1h9-bw,KFC,"['Fast Food', 'Chicken Wings', 'Restaurants']",1.5
kqO-dgJ_Ww17qVJXsPTfnw,Golden Cake,"['Bakeries', 'Food', 'Restaurants']",2.0
vjLgZg0DH_9xwcujFNb0pA,BJ's Buffet,"['Restaurants', 'Buffets']",1.5
O3OH5IEFMPtz7mPKakPZ3Q,Japaneiro,"['Tapas Bars', 'Restaurants', 'French', 'Asian Fusion', 'Japanese', 'Seafood']",4.5
q7OKOkEK-pgAQNjDiVd4bA,Kilroy's,"['American (Traditional)', 'Restaurants', 'Burgers']",3.0
y-O3h7CV6X6P5ey1ZFcQwA,Murdock Meals,"['Health & Medical', 'Food Delivery Services', 'American (New)', 'Restaurants', 'Specialty Food', 'Health Markets', 'Home Services', 'Desserts', 'Weight Loss Centers', 'Food']",5.0
eS76100l3h7Ollb5s3_M4A,Mad House Coffee,"['Bagels', 'Breakfast & Brunch', 'Restaurants', 'Coffee & Tea', 'Juice Bars & Smoothies', 'Bakeries', 'Food']",4.0
gSR9bmBa0HacSuMX5BIAxg,Marie Callender's Restaurant & Bakery,"['Bakeries', 'American (New)', 'Food', 'Restaurants']",3.0
rN3gHTjqx5sOnoUpJ-6jyg,Edge Steakhouse,"['Restaurants', 'Steakhouses']",4.0
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,"['American (Traditional)', 'American (New)', 'Restaurants', 'Pizza']",4.0
REJPrXEZly4PDQNmiMGI8Q,Robertos Taco Shop,"['Mexican', 'Food', 'Restaurants', 'Specialty Food', 'Tacos']",3.0
YQ--LJ7pvjiDSqNv0TuKTQ,Grimaldi's Pizzeria,"['Restaurants', 'Pizza']",4.0
4hG2j_ibsNblDgqei05U_g,Social House,"['Japanese', 'Lounges', 'Bars', 'Nightlife', 'Asian Fusion', 'Restaurants']",4.0
_XM07jbQGliVPwnAfyyGUA,Yafo Kosher Restaurant,"['Kosher', 'Restaurants']",3.0
mgc8BmE6Tdt4MVOy6siZoA,Food Court at Fashion Show Mall,"['Food Court', 'Restaurants', 'Food']",2.5
sPd9YmvS6eSWzTvqowcBXA,Tropical Smoothie Cafe,"['Juice Bars & Smoothies', 'Sandwiches', 'Food', 'Restaurants', 'Breakfast & Brunch']",3.0
JXYeMN_VyIZyrveANnIVpA,Subway,"['Sandwiches', 'Restaurants', 'Fast Food']",2.5
Ohy6TtDSeJkVAtIHXP7pMw,Subway,"['Sandwiches', 'American (Traditional)', 'Fast Food', 'Restaurants']",3.5
Piw03nxAXZF86UYaVrDn1g,Sbarro the Italian Eatery,"['Italian', 'Restaurants']",2.5
nepZ1HPAgBqw0TgJWbSgOA,Sin City Smokers Barbecue and Catering,"['American (Traditional)', 'Food', 'Barbeque', 'Food Trucks', 'Restaurants', 'Caterers', 'Event Planning & Services']",4.5
uhQoPguihcZTo8yp5o2ohw,St. Tropez International Buffet,"['Buffets', 'Restaurants']",2.5
Q6kZqLHy-ikjMW-lBCXnKA,Tequileria Grille,"['Restaurants', 'Tex-Mex', 'Imported Food', 'Ethnic Food', 'Specialty Food', 'Food']",2.0
lv5Bnqlt93NnvNJ2oNcQ8Q,Los Cucos Mexican Cafe,"['Tex-Mex', 'Mexican', 'Caterers', 'Restaurants', 'Event Planning & Services', 'Nightlife', 'Bars']",4.0
pUX9gzo1Tf4vRv7hX0eP1g,Los Compadres Meat Market,"['Food', 'Meat Shops', 'Grocery', 'Ethnic Food', 'Mexican', 'Restaurants', 'Specialty Food']",4.0
w_A1qFeQ3vOl7o4kdBxPXA,Muse Asian Cuisine & Lounge,"['Restaurants', 'Asian Fusion', 'Coffee & Tea', 'Food', 'Karaoke', 'Bars', 'Nightlife', 'Cafes', 'Lounges']",3.5
kihL3ob1VOlAaGNeJ0fClw,Mama Cimino's,"['Food', 'Restaurants', 'Pizza', 'Italian']",2.5
oAbPUdAp-7HgJ9hHkanAbA,Edamame Restaurant,"['Restaurants', 'Shanghainese', 'Chinese']",3.5
rVZfapnQgyVLsNWA583u-A,Grand Sign Kitchen,"['Chinese', 'Restaurants']",4.0
3PshdJtSwd_poaPL7fIOHg,Counter Cuisine,"['Food', 'Food Court', 'American (New)', 'Vegan', 'Sandwiches', 'Restaurants', 'Salad']",4.0
gIPrEKqnJwaAH0ZyvnQHeg,Cabo Mexican Restaurant,"['Italian', 'Steakhouses', 'Restaurants', 'Seafood', 'American (Traditional)', 'Mexican', 'Buffets']",3.0
HaPwC4nxs6RPfe1pAQkQ4A,Mastrioni's,"['Restaurants', 'Italian', 'Seafood']",4.0
aNGcHb8rjFFI9nY_fUgImg,Kona Grill,"['American (New)', 'Sushi Bars', 'Restaurants']",4.0
q3oJ6bNRV3OoJrwc95GOwg,Dirt Dog,"['Food', 'Gastropubs', 'Restaurants', 'American (New)', 'American (Traditional)', 'Desserts', 'Street Vendors', 'Hot Dogs']",4.5
XWxYHSld0T2TfANwt1KmqA,Cafe Americano,"['Breakfast & Brunch', 'Latin American', 'American (New)', 'Diners', 'Restaurants']",3.5
OcHZMxSYubLUg64aBU27sA,Nathan's Famous,"['American (New)', 'Hot Dogs', 'Cheesesteaks', 'Restaurants']",2.5
hLu4q64lPvF--9gd58lcPg,Noble Roman's Pizza,"['Pizza', 'Restaurants', 'Sandwiches']",2.0
Pjg0ML-Se8fnbWgHHodGYQ,The Blue Skillet Family Restaurant,"['American (Traditional)', 'Mexican', 'Diners', 'Restaurants']",3.0
94BEy7wGKmrOC7sjSHMisw,Charlies  Lakeside Restaurant & Lounge,"['Lounges', 'Restaurants', 'American (Traditional)', 'Nightlife', 'Arts & Entertainment', 'Casinos', 'Bars']",3.5
1ZnVfS-qP19upP_fwOhZsA,Big Wong Restaurant,"['Noodles', 'Malaysian', 'Soup', 'Taiwanese', 'Chinese', 'Restaurants', 'Asian Fusion']",4.0
uUlq6chIVb0I8AehlET5bQ,Jack in the Box,"['Fast Food', 'Restaurants']",2.5
YZyyG21xcwPQLqYh8pI-Ow,McFadden's,"['Karaoke', 'Restaurants', 'Pubs', 'Fish & Chips', 'Bars', 'Chicken Wings', 'American (New)', 'Nightlife']",2.5
hihud--QRriCYZw1zZvW4g,Gangnam Asian BBQ Dining,"['Restaurants', 'Barbeque', 'Asian Fusion', 'Japanese', 'Tapas/Small Plates', 'Korean']",4.5
WexIGFr-I6eH4loUY6DILw,The Locker Room,"['Musicians', 'Bars', 'Nightlife', 'Dive Bars', 'Restaurants', 'Event Planning & Services', 'Pizza', 'Gay Bars']",3.5
cPmThZ7Ugpd8eJnIObOy0Q,Olive Garden Italian Restaurant,"['Restaurants', 'Italian', 'Wine Bars', 'Nightlife', 'Salad', 'Bars']",3.0
TUrQG_XfJA_kCOSN0oUbTQ,Smashburger,"['Restaurants', 'Burgers']",3.5
Opufpwe4jaf--LtDZ_AHiw,Snack Bar,"['Food', 'Juice Bars & Smoothies', 'Sandwiches', 'Hot Dogs', 'Cafes', 'Ice Cream & Frozen Yogurt', 'Desserts', 'Restaurants', 'Mexican']",5.0
aBLQxmSlqkahg0BEokTPKw,Froyo Time,"['Ice Cream & Frozen Yogurt', 'Food', 'Restaurants']",3.5
ltELYeBXsbkQPlH16e-mOg,Roberto's Taco Shop,"['Fast Food', 'Restaurants', 'Mexican']",2.0
Ang2kQwTBd9S4LrhAS2pCA,Mala Restaurant,"['Chinese', 'Restaurants', 'Szechuan']",4.0
LCf4MZQcwgtniQUJ-MQBZA,Blue Ox East Restaurant & Lounge,"['American (Traditional)', 'Nightlife', 'Restaurants', 'Bars']",3.5
